"Name","Gender","Raw/Equipped","Team","Lot","State/Province","Country","Platform","Session","Flight","Awards Division","Body Weight (kg)","Weight Class","Wilks Coef","Exact Age","Division Based Age","Age Coef","Squat 1","Squat 2","Squat 3","Best Squat","Bench 1","Bench 2","Bench 3","Best Bench","Subtotal","Deadlift 1","Deadlift 2","Deadlift 3","Best Deadlift","Total","Dots Points","Dots & Age Points","Wilks Points","Age Points","Wilks & Age Points","IPF Points","IPF & Age Points","Glossbrenner Points","Glossbrenner & Age Points","Schwartz Malone Points","Schwartz Malone & Age Points","Place","S1LRef","S1HRef","S1RRef","S2LRef","S2HRef","S2RRef","S3LRef","S3HRef","S3RRef","B1LRef","B1HRef","B1RRef","B2LRef","B2HRef","B2RRef","B3LRef","B3HRef","B3RRef","D1LRef","D1HRef","D1RRef","D2LRef","D2HRef","D2RRef","D3LRef","D3HRef","D3RRef"
"Meghan Scanlon","FEMALE","RAW",,"116","MA","US","1","1","A","Female Avancus Houston Signature Series","66.4","All","1.0328092097709756","37","37","1","187.5","197.5","207.5","207.5","137.5","144.5","146","146","353.5","197.5","210","220","220","573.5","597.7572980005508","597.7572980005508","592.3160818036545","573.5","592.3160818036545","121.46296558352174","121.46296558352174","522.63055","522.63055","454.09729999999996","454.09729999999996","1","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"Leanne Le","FEMALE","RAW",,"113",,,"1","1","A","Female Avancus Houston Signature Series","46.3","All","1.3594287088919508","23","23","1","125","140","145","145","77.5","85","90","90","235","172.5","182.5","187.5","187.5","422.5","559.9172114462586","559.9172114462586","574.3586295068492","422.5","574.3586295068492","118.89158903519106","118.89158903519106","511.901","511.901","450.25825000000003","450.25825000000003","2","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"JaneÌe Kovacs","FEMALE","RAW",,"117",,,"1","1","A","Female Avancus Houston Signature Series","68.7","All","1.007922080463964","22","22","1.01","180","192.5","197.5","197.5","120","125","127.5","127.5","325","215","230","242","242","567","579.4846448398645","585.2794912882631","571.4918196230675","572.67","577.2067378192982","117.7533997883965","118.93093378628046","503.52435","508.5595935","436.41990000000004","440.784099","3","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"Emily Reynolds","FEMALE","RAW",,"112",,,"1","1","A","Female Avancus Houston Signature Series","75.65","All","0.9455545959376941","23","23","1","195","210","220","220","100","105","110","110","330","200","215","225","225","555","538.1082660544439","538.1082660544439","524.7828007454202","555","524.7828007454202","109.66092230134379","109.66092230134379","461.39925","461.39925","397.824","397.824","4","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"Angelina Martinez","FEMALE","RAW",,"111","NY","US","1","1","A","Female Avancus Houston Signature Series","67.5","All","1.0206214179827688","24","24","1","167.5","177.5","182.5","182.5","105","110","115","115","297.5","210","225","-235.5","225","522.5","539.4257848989707","539.4257848989707","533.2746908959967","522.5","533.2746908959967","109.60402615404492","109.60402615404492","470.223875","470.223875","405.93025","405.93025","5","good","good","bad, red","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","bad, yellow","bad, yellow","bad, yellow"
"Megan Hurlburt","FEMALE","RAW",,"115","TX","US","1","1","A","Female Avancus Houston Signature Series","55.4","All","1.18658288306287","33","33","1","145","155","160","160","95","105","107.5","107.5","267.5","160","175","185","185","452.5","528.2693453950391","528.2693453950391","536.9287545859487","452.5","536.9287545859487","108.48097539346824","108.48097539346824","476.48249999999996","476.48249999999996","416.662","416.662","6","good","good","good","good","good","good","good","bad, red","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"Ellie Weinstein","FEMALE","RAW",,"114","MN","US","1","1","A","Female Avancus Houston Signature Series","56.05","All","1.1757821250447604","21","21","1.02","157.5","167.5","172.5","172.5","80","85","87.5","87.5","260","180","192.5","-197.5","192.5","452.5","524.1916821844268","534.6755158281153","532.0414115827541","461.55","542.6822398144092","107.50416562019103","109.65424893259485","472.00274999999993","481.44280499999996","411.1415","419.36433","7","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good",,,,"good","good","good","good","good","good","bad, yellow","bad, yellow","bad, yellow"
"Austin Perkins","MALE","RAW",,"212",,,"1","1","B","Male Avancus Houston Signature Series","73.6","All","0.7220954555009692","26","26","1","290","305","320","320","192.5","203","208","208","528","295","315","330","330","858","623.0897146498695","623.0897146498695","619.5579008198316","858","619.5579008198316","126.31779276056612","126.31779276056612","599.1414","599.1414","579.4074","579.4074","1","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","good"
"Joseph Borenstein","MALE","RAW",,"211",,,"1","1","B","Male Avancus Houston Signature Series","82.95","All","0.6677379643187932","22","22","1.01","280","297.5","307.5","307.5","-205","212.5","219","219","526.5","352.5","377.5","-386","377.5","904","610.4857561563816","616.5906137179454","603.6351197441891","913.04","609.671470941631","125.17572692910055","126.42748419839155","580.6844","586.4912439999999","557.4968","563.071768","2","good","good","good","good","good","good","good","good","good","good","bad, yellow","bad, yellow","good","good","good","good","good","good","good","good","good","good","good","good","bad, yellow","bad, yellow","bad, yellow"
"Angelo Fortino","MALE","RAW",,"216",,,"1","1","B","Male Avancus Houston Signature Series","82.8","All","0.6684564612101294","32","32","1","285","305","322.5","322.5","165","172.5","177.5","177.5","500","325","345","360","360","860","581.3640142807053","581.3640142807053","574.8725566407112","860","574.8725566407112","119.19206202741206","119.19206202741206","553.066","553.066","530.362","530.362","3","good","good","good","good","good","good",,,,"good","good","good","good","good","good","good","good","good","good","good","good","good","good","good","bad, yellow","good","good"
